Project Name,Package Name,Type Name,Code Smell
frogger-refactoring,aplicacion,Acelerador,Unutilized Abstraction
frogger-refactoring,aplicacion,Biker,Unutilized Abstraction
frogger-refactoring,aplicacion,Biker,Multipath Hierarchy
frogger-refactoring,aplicacion,Car,Unutilized Abstraction
frogger-refactoring,aplicacion,Car,Multipath Hierarchy
frogger-refactoring,aplicacion,Car,Insufficient Modularization
frogger-refactoring,aplicacion,Carreta,Unutilized Abstraction
frogger-refactoring,aplicacion,Carreta,Multipath Hierarchy
frogger-refactoring,aplicacion,Collisionable,Unutilized Abstraction
frogger-refactoring,aplicacion,Collisionable,Wide Hierarchy
frogger-refactoring,aplicacion,Collisionable,Cyclic-Dependent Modularization
frogger-refactoring,aplicacion,EventosKeyboard,Deficient Encapsulation
frogger-refactoring,aplicacion,Fly,Unutilized Abstraction
frogger-refactoring,aplicacion,FroggerManager,Deficient Encapsulation
frogger-refactoring,aplicacion,FroggerManager,Insufficient Modularization
frogger-refactoring,aplicacion,FroggerManagertTest,Unutilized Abstraction
frogger-refactoring,aplicacion,FrogguerException,Unutilized Abstraction
frogger-refactoring,aplicacion,Frogirl,Unutilized Abstraction
frogger-refactoring,aplicacion,GameSettings,Deficient Encapsulation
frogger-refactoring,aplicacion,Grass,Unutilized Abstraction
frogger-refactoring,aplicacion,Hilo,Deficient Encapsulation
frogger-refactoring,aplicacion,Inmunidad,Unutilized Abstraction
frogger-refactoring,aplicacion,Machine,Unutilized Abstraction
frogger-refactoring,aplicacion,MachineBrave,Unutilized Abstraction
frogger-refactoring,aplicacion,MachineCaution,Unutilized Abstraction
frogger-refactoring,aplicacion,MachineIrreflexive,Unutilized Abstraction
frogger-refactoring,aplicacion,MotorCycle,Unutilized Abstraction
frogger-refactoring,aplicacion,MotorCycle,Multipath Hierarchy
frogger-refactoring,aplicacion,Platform,Unutilized Abstraction
frogger-refactoring,aplicacion,Player,Cyclic-Dependent Modularization
frogger-refactoring,aplicacion,Player,Insufficient Modularization
frogger-refactoring,aplicacion,PlayerNormal,Unutilized Abstraction
frogger-refactoring,aplicacion,PowerUp,Unutilized Abstraction
frogger-refactoring,aplicacion,PowerUp,Deficient Encapsulation
frogger-refactoring,aplicacion,Puddle,Unutilized Abstraction
frogger-refactoring,aplicacion,River,Unutilized Abstraction
frogger-refactoring,aplicacion,StopPlace,Unutilized Abstraction
frogger-refactoring,aplicacion,Toxicity,Unutilized Abstraction
frogger-refactoring,aplicacion,Trunk,Unutilized Abstraction
frogger-refactoring,aplicacion,Trunk,Insufficient Modularization
frogger-refactoring,aplicacion,Turtle,Unutilized Abstraction
frogger-refactoring,aplicacion,Turtle,Multipath Hierarchy
frogger-refactoring,aplicacion,Turtle,Insufficient Modularization
frogger-refactoring,presentacion,Assets,Deficient Encapsulation
frogger-refactoring,presentacion,ChampSelection,Insufficient Modularization
frogger-refactoring,presentacion,FroggerGUI,Insufficient Modularization
